Season,Team,Finish,Avg_Skill,Budget,Squad_Size
1,Moneyball FC,1,74.6,88.0,24
1,London Blue,2,74.8,54.0,24
1,Global Giants,3,75.4,50.0,28
1,Ajax-Style Academy,4,74.4,83.0,24
2,London Blue,1,76.8,55947697.0,28
2,Moneyball FC,2,76.0,96692588.0,28
2,Ajax-Style Academy,3,76.0,20786270.0,28
2,Global Giants,4,75.4,50000050.0,28
3,Ajax-Style Academy,1,77.4,73835848.0,28
3,London Blue,2,77.4,155707197.0,28
3,Moneyball FC,3,76.9,173507588.0,28
3,Global Giants,4,75.8,64025050.0,28
4,Global Giants,1,77.6,91508300.0,28
4,London Blue,2,79.1,237353891.0,28
4,Ajax-Style Academy,3,78.4,180353378.0,28
4,Moneyball FC,4,79.6,244783465.0,28
5,Ajax-Style Academy,1,78.4,230353378.0,28
5,Global Giants,2,78.1,197476198.0,28
5,London Blue,3,79.1,323386202.0,28
5,Moneyball FC,4,79.6,269783465.0,28
